"","Setting","DelayPercentage","AverageDelay","MaximumDelay","PassengerDelayPercentage","AverageWaitingTime","MaximumWaitingTime","PassengersTransported","MaximumQueueLength","AverageQueueLength"
"220","2_55800-24-300-14",96.57,16216.79,34737.16,15.58,184.85,2265.58,27356.16,178.32,4.53
"221","2_55800-24-300-16",96.14,15060.86,33926,14.12,182.24,2486.11,27662.84,177.53,4.37
"222","2_55800-24-300-18",95.73,14650.72,33119.21,14.29,189.3,2977,27436.74,215.16,4.58
"223","2_55800-24-300-20",94.82,14706.87,33708.11,14.91,187.98,2956.32,27142,221.89,4.79
"224","2_55800-24-300-22",93.89,12986.55,32534.84,14.64,194.73,3766.47,27078.47,246.74,4.95
"225","2_55800-27-300-8",88.95,5840.86,14546.21,49.33,567.89,2589.47,6865.74,5485.16,464.05
"226","2_55800-27-300-10",94.85,14013.1,31246.95,33.88,401.43,2274.05,19672.37,1538.53,110.84
"227","2_55800-27-300-12",97.08,16450.17,35043.63,18.16,204.37,1744.42,26895.89,204.42,5.26
"228","2_55800-27-300-14",96.56,16251.63,34721.26,16.55,192.4,1948.05,27306.89,161.58,4.74
"229","2_55800-27-300-16",96.2,15150.98,33663.05,14.85,181.75,2807.84,27388.16,176.53,4.37
"230","2_55800-27-300-18",95.67,14476.54,33526.47,15.14,190.08,3094.84,27308.74,184.26,4.63
"231","2_55800-27-300-20",94.8,13647.48,33220,14.88,200.41,3574,27128.95,266.79,4.89
"232","2_55800-27-300-22",93.9,13262.79,32722.16,13.61,176.66,3489.21,27643.53,144.16,4
"233","2_55800-30-300-8",90.35,6469.46,15861.89,49.28,631.82,2694.32,6751.58,5237.53,416.63
"234","2_55800-30-300-10",97.26,15703.98,34531.74,29.37,303.06,2173.58,23396.74,519.79,19.47
"235","2_55800-30-300-12",96.8,16222.81,34349.05,20.87,222,1712.89,25822.89,430.53,18.11
"236","2_55800-30-300-14",96.62,15977.8,34475.84,15.93,187.14,2239.68,27295.32,173.32,4.47
"237","2_55800-30-300-16",96.22,14900.09,33480,14.9,184.33,2527.84,27347.95,168.89,4.47
"238","2_55800-30-300-18",95.69,14941.62,33530.63,14.94,192.58,3237.53,27169.95,217.89,4.68
"239","2_55800-30-300-20",94.85,14046.91,33201,14.5,187.84,3917.79,27086.42,284.42,4.84
"240","2_55800-30-300-22",93.79,13391.78,32927.21,14.12,193.39,3589.84,27163.74,260.37,5.21
